control on HEAD: baseline suite pre-failing 72 (+1 collection errors); current suite pre-failing 0
C1   pre-fix False  | baseline survived (0) | current survived (0 tests, 49.5s) []
C2   pre-fix False  | baseline survived (0) | current survived (0 tests, 10.6s) []
C3   pre-fix False  | baseline survived (0) | current survived (0 tests, 45.5s) []
C4   pre-fix False  | baseline survived (0) | current KILLED   (9 tests, 43.5s) ['tests/test_chat_scorer.py::test_no_template_kwargs_sends_the_byte_identical_body_as_before']
C5   pre-fix False  | baseline survived (0) | current KILLED   (1 tests, 45.0s) ['tests/test_sweep_w24.py::test_plan_shape_and_pairing']
C6   pre-fix False  | baseline KILLED   (3) | current KILLED   (6 tests, 44.9s) ['tests/test_instrument_class4_units.py::test_assembled_golden_record_carries_latency_6_and_units']
C7   pre-fix False  | baseline survived (0) | current KILLED   (7 tests, 44.1s) ['tests/test_chat_scorer.py::test_the_tools_array_is_sent_on_every_render']
C8   pre-fix False  | baseline survived (0) | current survived (0 tests, 44.6s) []
C9   pre-fix False  | baseline survived (0) | current survived (0 tests, 45.4s) []
C10  pre-fix False  | baseline KILLED   (3) | current KILLED   (5 tests, 44.8s) ['tests/test_prepilot_adjustments.py::test_base_rate_exclusion_carries_its_provenance_on_the_entry']
C11  pre-fix True   | baseline survived (0) | current KILLED   (13 tests, 19.4s) ['tests/test_instrument_class1_silent_default.py::test_degenerate_input_never_clean[l2_policy/both_tokens]']
wrote /home/lbsuto/saster-unprompted/runs/unprompted/mutation_score_C.json
